state_name,county_nm,year,Total Population,WT number of public wastewater facilities,WT returns by public wastewater facilities,HP instream use,HP total number of facilities,HP total power generated,HP total offstream surface-water withdrawals,Ir Total reclaimed wastewater,Ir Total conveyance loss,Ir Total total irrigation,Ir Total total consumptive use,Ir Total total s-s withdrawals,A total s-s withdrawals,L consumptive use,L total s-s withdrawals,M reclaimed wastewater,M total consumptive use,M total s-s withdrawals,TP total number of facilities,TP total reclaimed wastewater,TP total power generated,TP total consumptive use,TP total s-s withdrawls,TP total s-s withdrawls plus deliveries,NTP number of facilities,NTP power generation,NTP total consumptive use,NTP total s-s withdrawals,NTP total s-s withdrawals plus deliveries,GTP number of facilities,GTP power generation,GTP total consumptive use,GTP total s-s withdrawals,GTP total s-s withdrawals plus deliveries,FTP number of facilities,FTP reclaimed wastewater,FTP power generation,FTP total consumptive use,FTP total s-s withdrawals,FTP total s-s withdrawals plus deliveries,TTP number of facilities,TTP reclaimed wastewater,TTP power generated,TTP total s-s withdrawals plus deliveries,TTP total consumptive use,TTP total s-s withdrawals,I number of facilities,I reclaimed wastewater,I total consumptive use,I total s-s withdrawals,I total s-s withdrawals plus deliveries,C reclaimed wastewater,C total consumptive use,C total s-s withdrawals,C total s-s withdrawals plus deliveries,D s-s population,D per capita use s-s,D per capita use public-supplied,D total consumptive use,D total s-s withdrawals total,D total s-s withdrawals plus deliveries,PS number of facilities,PS reclaimed wastewater,PS per capita use,PS public use and losses,PS total deliveries,PS total s-s withdrawals total
California,Alpine,2000,1.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,14.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.610,66.000,0.000,0.000,0.040,0.040,0.000,0.000,0.000,0.000,0.000,0.120
California,Alpine,2005,1.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.780,0.000,14.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.040,0.000,0.000,0.000,0.000,0.839,12.000,250.000,0.000,0.010,0.090,0.000,0.000,250.000,0.000,0.080,0.080
California,Alpine,2010,1.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.620,0.000,4.220,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.425,94.000,107.000,0.000,0.040,0.120,0.000,0.000,253.000,0.000,0.080,0.190
California,Alpine,2015,1.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.740,6.990,9.690,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.405,99.000,85.000,0.000,0.040,0.100,0.000,0.000,142.000,0.000,0.060,0.100
California,Amador,1985,22.890,7.000,1.520,1057.300,0.000,994.860,0.000,0.050,0.380,5.000,8.950,12.800,0.000,0.150,0.190,0.000,0.200,0.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.480,0.000,1.360,0.000,0.330,0.260,0.920,10.350,66.000,140.000,0.630,0.680,2.430,0.000,0.000,0.000,0.000,3.770,2.870
California,Amador,1990,30.040,7.000,1.250,918.880,4.000,764.210,0.000,0.180,0.000,5.500,11.420,16.330,0.000,0.210,0.210,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.220,0.000,1.470,0.000,0.000,0.000,0.330,6.890,75.000,77.000,0.600,0.520,2.310,24.000,0.000,0.000,0.000,3.590,9.260
California,Amador,1995,32.600,7.000,1.760,0.000,5.000,1207.580,2316.320,0.010,0.040,5.400,14.690,16.350,0.000,0.560,0.200,0.000,0.040,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.430,0.000,1.470,0.000,0.330,0.000,1.270,5.900,75.000,87.000,0.720,0.440,2.760,20.000,0.000,365.000,4.680,5.060,9.740
California,Amador,2000,35.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.230,0.000,24.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.150,0.000,0.000,0.000,0.000,8.280,75.000,0.000,0.000,0.620,0.620,0.000,0.000,0.000,0.000,0.000,5.810
California,Amador,2005,38.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.140,5.970,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.000,18.246,7.000,238.000,0.000,0.130,4.940,0.000,0.000,297.000,0.000,4.810,6.000
California,Amador,2010,38.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.810,0.000,17.030,5.980,0.000,0.000,0.000,0.000,0.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.410,0.410,0.000,0.000,0.000,0.000,7.881,72.000,103.000,0.000,0.570,3.690,0.000,0.000,251.000,0.000,3.120,7.590
California,Amador,2015,37.001,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.000,9.010,17.180,20.750,7.440,0.000,0.000,0.000,0.000,1.950,1.000,0.000,107.980,0.190,0.270,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,107.980,0.270,0.190,0.270,6.000,0.000,0.000,0.410,0.410,0.000,0.000,0.000,0.000,9.081,107.000,107.000,0.000,0.970,3.960,0.000,0.000,309.000,0.000,2.990,8.640
California,Butte,1985,163.220,12.000,3.950,7679.140,0.000,2992.700,0.000,2.390,23.890,301.900,699.880,1194.330,0.000,0.430,0.590,0.000,0.230,0.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,1.650,2.430,0.000,2.740,0.820,9.940,29.040,75.000,180.000,6.850,2.180,26.360,0.000,0.000,0.000,0.000,34.080,39.640
California,Butte,1990,182.120,14.000,7.200,7136.130,14.000,2448.860,0.000,0.000,162.750,217.100,577.270,807.440,0.000,0.760,2.290,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.000,0.000,0.020,0.000,0.440,0.000,0.000,0.000,8.370,59.400,75.000,170.000,6.570,4.460,25.280,53.000,0.000,0.000,0.000,29.630,45.830
California,Butte,1995,196.100,14.000,8.470,6283.390,14.000,5337.820,9428.800,0.000,30.820,225.300,759.800,853.460,0.000,0.930,2.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.000,0.260,0.000,0.900,0.000,2.540,53.560,63.320,43.390,75.000,201.000,8.810,3.260,33.880,15.000,0.000,294.000,3.680,41.280,44.960
California,Butte,2000,203.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,257.360,0.000,973.490,55.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.260,0.000,0.000,0.000,0.000,38.400,75.000,0.000,0.000,2.880,2.880,0.000,0.000,0.000,0.000,0.000,45.380
California,Butte,2005,214.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,206.940,0.000,716.120,21.590,0.000,0.000,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.270,1.270,0.000,0.000,0.000,0.000,2.264,4187.000,169.000,0.000,9.480,45.260,0.000,0.000,192.000,0.000,35.780,40.680
California,Butte,2010,220.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,221.860,0.000,646.140,18.830,0.000,0.000,0.000,0.000,0.240,0.000,0.000,69.470,0.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.470,0.000,0.000,0.400,0.000,0.000,0.000,4.020,4.020,0.000,0.000,0.000,0.000,33.800,75.000,155.000,0.000,2.540,31.460,0.000,0.000,230.000,0.000,28.920,42.840
California,Butte,2015,225.411,0.000,0.000,0.000,0.000,0.000,0.000,0.230,0.000,224.470,591.870,752.680,21.270,0.000,0.000,0.000,0.000,1.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,4.020,4.020,0.000,0.000,0.000,0.000,38.152,88.000,100.000,0.000,3.370,22.060,0.000,0.000,154.000,0.000,18.690,28.810
California,Calaveras,1985,26.880,14.000,45.190,1053.440,0.000,536.240,0.000,0.010,0.070,1.700,2.370,3.380,0.000,0.340,0.430,0.000,0.390,1.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.550,0.590,1.560,0.000,0.240,0.060,0.890,6.170,23.000,106.000,0.610,0.140,2.340,0.000,0.000,0.000,0.000,4.000,3.610
California,Calaveras,1990,32.000,19.000,1.480,839.620,4.000,307.700,0.000,0.040,0.000,1.900,4.550,6.420,0.000,0.290,2.880,0.000,0.780,0.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.280,20.380,75.000,114.000,0.740,1.530,2.850,22.000,0.000,0.000,0.000,1.650,1.800
California,Calaveras,1995,36.950,19.000,1.930,513.550,4.000,355.520,714.810,0.000,0.380,1.800,4.590,5.520,0.000,0.320,2.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.160,0.520,0.570,0.250,0.100,0.080,0.480,8.180,75.000,130.000,1.130,0.610,4.350,9.000,0.000,177.000,0.890,4.190,5.080
California,Calaveras,2000,40.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.720,0.000,6.910,2.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.940,75.000,0.000,0.000,0.370,0.370,0.000,0.000,0.000,0.000,0.000,7.010
California,Calaveras,2005,46.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.450,0.000,4.280,0.070,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.780,1.780,0.000,0.000,0.000,0.000,7.973,499.000,232.000,0.000,3.980,13.020,0.000,0.000,169.000,0.000,9.040,6.590
California,Calaveras,2010,45.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.850,0.000,12.370,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.170,0.170,0.000,0.000,0.000,0.000,12.568,62.000,192.000,0.000,0.780,7.110,0.000,0.000,292.000,0.000,6.330,9.650
California,Calaveras,2015,44.828,0.000,0.000,0.000,0.000,0.000,0.000,0.290,0.000,3.670,7.450,8.800,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.170,0.170,0.000,0.000,0.000,0.000,11.683,101.000,101.000,0.000,1.180,4.520,0.000,0.000,199.000,0.000,3.340,6.590
California,Colusa,1985,14.690,6.000,1.630,0.000,0.000,0.000,0.000,1.980,19.810,258.000,555.810,990.290,0.000,0.260,0.360,0.000,0.050,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.030,0.000,0.260,0.130,0.870,4.640,73.000,195.000,0.600,0.340,2.300,0.000,0.000,0.000,0.000,2.730,3.220
California,Colusa,1990,16.280,7.000,0.860,0.000,0.000,0.000,0.000,0.000,211.890,264.800,607.250,876.670,0.000,0.560,0.560,0.000,0.010,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.390,6.660,75.000,188.000,0.080,0.500,2.310,10.000,0.000,0.000,0.000,2.210,3.010
California,Colusa,1995,17.850,7.000,1.130,0.000,0.000,0.000,0.000,0.000,39.410,298.000,837.430,1044.920,0.000,0.650,0.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.050,0.170,0.170,0.000,0.130,0.000,0.510,5.080,75.000,163.000,0.670,0.380,2.460,4.000,0.000,236.000,0.420,2.590,3.010
California,Colusa,2000,18.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,259.380,0.000,909.190,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.060,75.000,0.000,0.000,0.530,0.530,0.000,0.000,0.000,0.000,0.000,3.220
California,Colusa,2005,21.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,267.290,0.000,909.050,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.090,4.090,0.000,0.000,0.000,0.000,9.963,124.000,243.000,0.000,1.240,3.950,0.000,0.000,144.000,0.000,2.710,1.600
California,Colusa,2010,21.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300.820,0.000,828.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,175.650,0.000,0.520,0.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,175.650,0.000,0.000,0.520,0.000,0.000,0.000,0.840,0.840,0.000,0.000,0.000,0.000,3.479,75.000,126.000,0.000,0.260,2.520,0.000,0.000,230.000,0.000,2.260,4.130
California,Colusa,2015,21.482,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,309.730,556.700,695.250,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,154.010,0.200,0.280,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,154.010,0.280,0.200,0.280,9.000,0.000,0.000,0.840,0.840,0.000,0.000,0.000,0.000,3.433,87.000,88.000,0.000,0.300,1.880,0.000,0.000,136.000,0.000,1.580,2.460
California,Contra Costa,1985,711.880,21.000,68.330,0.000,0.000,0.000,0.000,0.850,2.140,43.000,80.610,106.820,0.000,0.360,0.500,0.000,0.330,1.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11498.770,6.120,1192.550,1194.460,0.000,0.000,11498.770,0.000,6.120,0.000,0.000,0.640,31.560,55.740,112.120,0.000,9.980,10.790,23.240,381.660,75.000,100.000,16.030,28.620,61.650,0.000,0.000,0.000,0.000,103.770,54.150
California,Contra Costa,1990,803.730,20.000,71.020,0.000,0.000,0.000,0.000,1.460,0.000,0.300,0.540,0.720,0.000,0.810,0.810,0.000,0.140,0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,9834.710,5.890,1001.810,1002.210,2.000,0.000,9834.710,0.000,5.890,0.000,605.000,0.010,14.700,12.590,44.510,0.000,1.720,0.040,16.690,57.690,75.000,104.000,21.300,4.330,81.930,50.000,0.000,0.000,0.000,126.570,123.030
